Reporter Name;Partner Name;Trade Flow;Indicator;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Italy;Belize;Export;Export Partner Share (%);0,0014;0,0012;0,0008;0,0066;0,0014;0,0002;0,0004;0,0008;0,0003;0,0005;0,0011;0,003;0,0007;0,0038;0,0016;0,0011;0,0016;0,002;0,0015;0,0032;0,0068;0,0075;0,0016;0,0021;0,0015;0,0042
Italy;Benin;Export;Export Partner Share (%);0,0058;0,0081;0,0099;0,0115;0,017;0,018;0,0167;0,0204;0,0254;0,0173;0,0115;0,0123;0,0084;0,0084;0,0144;0,014;0,0133;0,0184;0,0124;0,0167;0,0182;0,0155;0,009;0,0077;0,0091;0,0079
Italy;Bermuda;Export;Export Partner Share (%);0,0071;0,0029;0,0076;0,0121;0,03;0,0092;0,121;0,1966;0,1888;0,0034;0,0134;0,0194;0,1214;0,1033;0,2233;0,003;0,0027;0,0016;0,0016;0,0015;0,0015;0,0018;0,0267;0,0023;0,0038;0,0015
Italy;Bhutan;Export;Export Partner Share (%);0,0001;0;0;0,0001;0;0,0001;0,0005;0,0003;0,0001;0,0004;0,0001;0,0005;0,0001;0,0001;0,0003;0,0006;0,0005;0,001;0,0005;0,0004;0,0003;0,0007;0,0004;0,0004;0,0003;0,0001
Italy;Bolivia;Export;Export Partner Share (%);0,0106;0,0141;0,0178;0,0175;0,0169;0,0141;0,0111;0,0095;0,0089;0,0065;0,006;0,0058;0,0057;0,0061;0,0077;0,0121;0,0133;0,0163;0,0191;0,025;0,025;0,026;0,0194;0,0254;0,0166;0,0131
Italy;Bonaire;Export;Export Partner Share (%);;;;;;;;;;;;;;;;;;;;0,0001;0,0001;0,0001;0,0002;0,0001;0,0005;0,0002
Italy;Bosnia and Herzegovina;Export;Export Partner Share (%);0,0144;0,0301;0,0848;0,1148;0,111;0,1253;0,1313;0,1422;0,1512;0,1458;0,1422;0,1553;0,13;0,1409;0,1719;0,1766;0,1629;0,155;0,1491;0,1485;0,1514;0,1545;0,1557;0,1538;0,1523;0,1447
Italy;Botswana;Export;Export Partner Share (%);;;;;;;0,002;0,0043;0,0015;0,0012;0,0016;0,0008;0,0009;0,0017;0,0017;0,0013;0,0014;0,002;0,0018;0,0011;0,0008;0,0013;0,0016;0,0018;0,0013;0,0051
Italy;Bouvet Island;Export;Export Partner Share (%);;;;;;;;;;0;;0;0;0;;0;0;0;0;0;;;0;;0,0014;
Italy;Brazil;Export;Export Partner Share (%);0,9715;1,3755;1,2349;1,4759;1,3627;1,0744;0,9357;0,9496;0,7354;0,6011;0,6261;0,6709;0,6656;0,6973;0,8969;0,9185;1,1395;1,2638;1,28;1,3005;1,1762;0,9385;0,7671;0,845;0,8319;0,8257
Italy;British Indian Ocean Ter.;Export;Export Partner Share (%);0;;0;0;0;0,0001;0,0001;0,0001;0;0;0,0001;0;0,0001;;;0,0001;;0;;;;;0;;;0
Italy;British Virgin Islands;Export;Export Partner Share (%);0,0289;0,0158;0,0179;0,027;0,0247;0,0286;0,061;0,0506;0,0506;0,0344;0,043;0,047;0,0341;0,0479;0,0276;0,0602;0,0351;0,1122;0,0581;0,0534;0,0531;0,0467;0,0387;0,0299;0,0416;0,0267
Italy;Brunei;Export;Export Partner Share (%);0,019;0,0232;0,0207;0,0375;0,0127;0,0024;0,0158;0,0055;0,003;0,0147;0,0033;0,0029;0,0062;0,002;0,0032;0,0052;0,0024;0,0039;0,01;0,0078;0,0114;0,0116;0,0053;0,0037;0,0043;0,0132
Italy;Bulgaria;Export;Export Partner Share (%);0,1645;0,1845;0,1497;0,157;0,1839;0,2057;0,2276;0,2772;0,3164;0,3503;0,3692;0,4097;0,4701;0,4878;0,5195;0,4195;0,418;0,4248;0,4162;0,4905;0,4724;0,4863;0,5004;0,4877;0,5247;0,5383
Italy;Bunkers;Export;Export Partner Share (%);0,3905;0,102;0,4012;0,4276;0,4211;0,4168;;0,15;0,1182;0,1353;0,1372;0,1472;0,1275;0,1815;0,4705;0,2987;0,2945;0,432;0,4684;0,4098;0,3397;0,2977;0,243;0,2958;0,556;0,6477
Italy;Burkina Faso;Export;Export Partner Share (%);0,0034;0,0032;0,0051;0,0065;0,0056;0,0058;0,0057;0,0066;0,0079;0,0082;0,0097;0,0075;0,0068;0,0071;0,0054;0,0055;0,0056;0,0093;0,01;0,0099;0,0094;0,0145;0,0118;0,0114;0,0137;0,0133
Italy;Burundi;Export;Export Partner Share (%);0,0073;0,0066;0,003;0,0017;0,0019;0,0017;0,0015;0,0012;0,0016;0,0013;0,0032;0,0052;0,01;0,0012;0,0012;0,0014;0,0024;0,0016;0,0011;0,0012;0,0009;0,0007;0,001;0,0007;0,0007;0,0011
Italy;Cambodia;Export;Export Partner Share (%);0,0007;0,0009;0,0089;0,0011;0,0016;0,0026;0,0059;0,005;0,004;0,0029;0,0035;0,0026;0,0035;0,0042;0,0029;0,0047;0,0047;0,0066;0,0107;0,0073;0,0098;0,0133;0,0149;0,0159;0,0159;0,0295
Italy;Cameroon;Export;Export Partner Share (%);0,0178;0,0226;0,0227;0,0249;0,0279;0,0234;0,0256;0,0308;0,0332;0,0306;0,0233;0,0216;0,0184;0,0242;0,022;0,0245;0,0245;0,0433;0,0287;0,0291;0,0242;0,0238;0,0271;0,0277;0,0437;0,0246
Italy;Canada;Export;Export Partner Share (%);0,9166;0,9335;0,722;0,7853;0,8156;0,8486;0,8969;0,9419;0,9123;0,9098;0,8487;0,8082;0,8082;0,7491;0,703;0,7065;0,7023;0,7166;0,7397;0,7753;0,776;0,8925;0,886;0,8748;0,8835;0,9358
Italy;Cape Verde;Export;Export Partner Share (%);0,0016;0,0022;0,0031;0,0018;0,0022;0,0046;0,0052;0,0058;0,0041;0,0035;0,0049;0,0096;0,0075;0,0072;0,0063;0,0076;0,0037;0,0095;0,0027;0,0021;0,0068;0,002;0,0052;0,01;0,0036;0,0028
Italy;Cayman Islands;Export;Export Partner Share (%);0,0109;0,0202;0,0063;0,0108;0,0257;0,0124;0,0236;0,0376;0,0298;0,0412;0,0543;0,0703;0,0581;0,0447;0,0511;0,0401;0,0284;0,0614;0,028;0,0368;0,0686;0,0461;0,0421;0,0416;0,0476;0,0611
Italy;Central African Republic;Export;Export Partner Share (%);0,0007;0,0014;0,001;0,0004;0,0008;0,0007;0,0004;0,0009;0,0007;0,0006;0,0007;0,0004;0,0008;0,0005;0,0005;0,0014;0,0014;0,0007;0,0005;0,0003;0,001;0,0045;0,0025;0,0017;0,0028;0,0016
Italy;Chad;Export;Export Partner Share (%);0,0006;0,0029;0,0012;0,0021;0,0011;0,0015;0,0016;0,0028;0,0031;0,0026;0,0018;0,0018;0,0015;0,0023;0,0046;0,0133;0,0064;0,0046;0,0067;0,0066;0,0329;0,0092;0,0022;0,0018;0,001;0,0015
Italy;Chile;Export;Export Partner Share (%);0,1725;0,2149;0,2289;0,2631;0,2636;0,1769;0,1697;0,1521;0,1279;0,1233;0,1192;0,1352;0,1388;0,1411;0,1432;0,1699;0,189;0,2325;0,2379;0,2282;0,2177;0,2331;0,2195;0,214;0,2203;0,2228
Italy;China;Export;Export Partner Share (%);1,2029;1,1694;1,1379;1,0612;0,8488;0,8227;0,898;1,1877;1,4759;1,4358;1,5418;1,5171;1,695;1,7165;1,737;2,2648;2,5445;2,6488;2,3064;2,5225;2,6309;2,5258;2,65;3,0034;2,8211;2,7
Italy;Christmas Island;Export;Export Partner Share (%);;;;;;;;;0;0;0;0;0,0001;0;0;;;;;0,0001;;;;;;0
Italy;Cocos (Keeling) Islands;Export;Export Partner Share (%);0,0002;;0,0001;0,0001;0,0001;0,0002;;;0,0001;;0;0;0;;0;;;;0;0;0;0;;0;;0
Italy;Colombia;Export;Export Partner Share (%);0,1637;0,1519;0,1722;0,163;0,1524;0,0869;0,0878;0,1102;0,1001;0,0889;0,0801;0,0835;0,0931;0,0972;0,1081;0,1055;0,1253;0,1644;0,1629;0,1568;0,1798;0,1554;0,1391;0,1311;0,1298;0,1393
Italy;Comoros;Export;Export Partner Share (%);0,0008;0,0003;0,0007;0,0008;0,0012;0,001;0,0003;0,0004;0,0004;0,0004;0,0015;0,0012;0,0013;0,0003;0,002;0,0002;0,0004;0,0003;0,0004;0,0004;0,0002;0,0002;0,0002;0,0006;0,0005;0,0005
Italy;Congo, Dem. Rep.;Export;Export Partner Share (%);0,0104;0,0166;0,0155;0,0093;0,0057;0,0038;0,0037;0,0061;0,0076;0,0088;0,0069;0,0089;0,0118;0,0145;0,0169;0,03;0,014;0,0208;0,0157;0,0173;0,0169;0,0119;0,0103;0,0077;0,014;0,0133
Italy;Congo, Rep.;Export;Export Partner Share (%);0,0328;0,039;0,0162;0,0566;0,0229;0,0212;0,0247;0,0421;0,0339;0,0244;0,0237;0,0256;0,0244;0,0674;0,0313;0,0721;0,054;0,056;0,0378;0,0495;0,0773;0,0464;0,0319;0,0206;0,0172;0,0187
Italy;Cook Islands;Export;Export Partner Share (%);0,0002;;0;0,0001;0,0001;0;;;0;0,0002;0;0,0001;0;0;0;0,0026;0;0;0;0,0027;0;0,0006;0,0053;0,0017;0,0011;0,0046
Italy;Costa Rica;Export;Export Partner Share (%);0,0314;0,028;0,0262;0,03;0,0332;0,0328;0,0333;0,0347;0,0366;0,0367;0,0245;0,0239;0,0238;0,0268;0,0248;0,0236;0,0246;0,0278;0,0255;0,0304;0,0342;0,0332;0,0351;0,0331;0,0306;0,028
Italy;Cote d'Ivoire;Export;Export Partner Share (%);0,0319;0,0475;0,0527;0,053;0,0683;0,0628;0,0392;0,0465;0,0448;0,0375;0,0342;0,0369;0,026;0,0272;0,0271;0,0302;0,0342;0,0272;0,0335;0,0324;0,0507;0,0781;0,0433;0,0374;0,0414;0,038
Italy;Croatia;Export;Export Partner Share (%);0,7223;0,7269;0,6616;0,7384;0,6195;0,5443;0,5478;0,6177;0,7626;0,8022;0,7745;0,7744;0,8144;0,7669;0,8462;0,773;0,6135;0,6023;0,5064;0,513;0,6523;0,6317;0,6181;0,6766;0,6908;0,7948
Italy;Cuba;Export;Export Partner Share (%);0,033;0,0354;0,0447;0,0511;0,0794;0,0892;0,1033;0,1025;0,0923;0,0878;0,0632;0,0661;0,0847;0,0619;0,0798;0,0637;0,0547;0,0607;0,0633;0,0686;0,0576;0,0804;0,0749;0,0648;0,0592;0,0613
Italy;Curaçao;Export;Export Partner Share (%);;;;;;;;;;;;;;;;;;0,0071;0,0055;0,0017;0,0013;0,0015;0,0013;0,0011;0,0017;0,0013
